category,accuracy
action_recognition,0.25116279069767444
attribute_comparison,0.3120567375886525
attribute_recognition,0.2803030303030303
celebrity_recognition,0.25
function_reasoning,0.2598684210526316
future_prediction,0.3
identity_reasoning,0.2556818181818182
image_emotion,0.25
image_quality,0.35333333333333333
image_scene,0.25307125307125306
image_style,0.25
image_topic,0.2589928057553957
nature_relation,0.2681564245810056
object_localization,0.2571428571428571
ocr,0.25
physical_property_reasoning,0.3013698630136986
physical_relation,0.25806451612903225
social_relation,0.25
spatial_relationship,0.2542372881355932
structuralized_imagetext_understanding,0.275
