source,accuracy
COCO train2014,0.2565789473684211
COCO_test2015,0.25
Clevr,0.2777777777777778
Google,0.25
Internet,0.2540322580645161
PISC,0.25
TextVQA test-split,0.25
action/aras,0.25
code,0.25
"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBESFRgREhUZGRgYGBkcGBoYGBgYGRoYGhgaGRgaGRwcIS4lHB4tHxkaJjgmKzAxNTU1GiU7QDszPy40NTEBDAwMEA8QGhISHzQhISs0NjU0NDQ0NDQ0NDQxNDQ0NDQ0MTQxNDQ0NDQ0NDQxNDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NP/AABEIALMBGgMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAAAAwECBAUGB//EAEQQAAEDAwEEBwUECAUDBQAAAAEAAhEDEiExBEFRcQUiYYGRobEGEzLB0UJSkvAUYnKCotLh8RYjU5OyB4PCFTRDRKP/xAAZAQEBAQEBAQAAAAAAAAAAAAAAAQMCBAX/xAAjEQEAAgEDBQEAAwAAAAAAAAAAARECAxJREyExQaFxIjJh/9oADAMBAAIRAxEAPwBzGK8KwaphfZt8hSEQmQiEsLhTCvCLUsUhEJkKLUsUhTCvCi1LFYRCtai1LFIRCvaphSwuEQrwiFbC4RCZCISwuEQmQiEsKhEJkItSwuFEJsItSwqEQmQohAuEQmQiEC4UWpkItQLhRCZCiEsUhRCZCiFQstRamWotR01WotTLVFq4sUtRCZai1SwuEQmQiEsLhTCZai1LC4RCZai1LC4RCZai1LC4RCZai1LC4UQm2otSwqEWptqi1LC4RamWotSwu1RCbai1LC7Vs2Vo9zWMCf8ALAJAMS4zHDRZrV1uiNnvpbQ3fawjm33jh5hcamURjf47wi5r9cSEQmWohd2zouEQrwohWylIUQmQohLKUhRCvCIRVIUQmQiEsLhTCvCi1LGqFNqZCiFzaqQiFeEQpYpCLUy1EJYXCLUy1EJYXCmEyEQlhUKbUyEQlhdqiE2EQlhVqITLUQlhdqLUyEQloXCiE2EQlqVCITIRalopau77KuBFWNz2tOd4YS4dkEkRxBXM2LZ/ePYzcTnkMu8gVo9hiTSqu+9tVY/xu+q8+tl22vRo497YdroWPez7riBynHlCTC7PtDQioH/faPFuD5QuTatsMrxiWWeO3KYLhRamWotXduC7VFqbai1LCbUWpkIhLUqEQmwotVsKhTamWqYSxqhRCvCLVnbqlIUwrWqYSylIRCvai1LKUhEK8IhLKUhEK8IhLKUhEJkIhLKLhEJkKLUspSEQrwiEspSEQr2otSylIRCvCiEspSEQrwiEsp1fZ6h1jUO6Gjmcn5eK5fsY0VNnfTDoP6RVcQJJi8WkwDAJa4Z1gr1HRVCxjG79TzOfoO5eb9iaROz3NMEbTtHIt942QfDB3HskHyZ5XlMvXhjWMQ63TGykUWa/5Za2XGSWkBsknJM2zO+VwLV7Laad7HM4tPju84XjyFroZXEwy18amJUhRamQiFtbGi7VEJsKIS0oq1FqZCISwq1FqZCIVtS7UWq8KYSxphEJkIhZ26ouFMK8IhLSlIRarwiEspSEQrwiEspSEQrwiEspSEWq8IhLVWFEK8IhLSlLUWq8IhLFLUQrwiEspSFEJkIhLKLhO2Ohe9rd0yeQyfp3qsLp9D0fif8Auj1PyXGeVYy7wxvKIdimvMexP/t3jhtG0j+NeoYvJ+xLuptLPubbtI82leb09kvVtXmOkqNlRw3E3Dkc+sjuXpmrldOUcNf+6fUfPxXellWTLVxvFxIUQmwohem3lKhEJkItVsoqEQmQiEsoqEQmQohLKUhEK8KYSymiEQrwiFnbulIRCvCISylYRCtCmEspSEQrwiEspWEQrQiEspWEQrwiEspSEQrwiEspSEQrwohLKUhEK8IhLKUhEK8KISylIXodmpWMa3gM8zk+ZXJ2Clc8cBk939YXbCy1MvTbSx9mMXk/ZJttfpCnw2p793/ySRv7F6xq8b0XTLekukGtMOIoPbwIsFwPEEv13EA7llHttPp7BrTO6IO+c4jdzStspXsczfGOYyFdWBVjsk93lYRC17fTDXuA4zynMeazwvTGV93lnGppSFEK8IhLSlIUQrwohLKVhRCvCISylIRCvCISyj0Ly1X20pA9Wm4g6S5rTrwEqR7Z0pF1N4EZMtJB3AAxI7ZCy6mPLTbL1CF56h7YbI+ZvbHFkzytJ81Z/tbsYEhz3ZiAwzz60Jvx5NsvQQhcZvtNsRg+9AnSWP4xnq4702l0/sj5ArMxxlo7i4AFN0cptl1EQuJ/inYr7Pe5mJtfbrE3REdq0P6f2RrS/wB8wgfdNx3xgZ3K745NsunCFxaXtTsThIqxpgsfInkNO3tCq72r2QODbyRGX2utBxAMi7y3Kb8eTbLuIXJo+0uxPmKzRH3g5vhcBK1N6V2YiffU88XtHqVd0cm1sQoY8OALSCDkEZBHYQpVtKCEIlLKEIRKEsoIQhoJMDU6JZTpdF04aXcTA5D+votyijTDQGjcI/qrQsZm5enGKil2ryDj7vpoj/V2PxLX/IU164LyXtNSfT2/YtqDeo25j3SAGh7hTbMneau5SFnw9SVIKoajdxn9nreio+sB9l3eLf8AlCqW8jt/SFvST6BOH0aZb+20OMd7SfwhdFYdu6IdU2p21PqMDA+m9rOpcHMphmXhxNvxGIjPELc7GJB5TE8MjX6rTGe1Mco72iEIlRK7txQUKZUSllCEIlRKWUIUwolEpZT5FUa9uoyCRGJA3nB+u9XpbLVdLWgk/q4HDXhg5mOK7rq9LP8Akszr8eT29Zadm6UFMCGNxj4nxH7JJG9efoZ8Nuphy82/o+oGl1nV1k8JwW8d571d+wVIEAgkTaYBI0mN2Z1Xeb0i0C0MEHdc+P7Ift1N2DSGBA678A7tcjXCvR1OF6mny4T+jq4MPYchxb9oYGZjTkl0tgqO0jEznGO0YByvU1+mzUAa9jTbkFpc2NOBzkBZBtVGXOFFoLtSHPEniYyVJ0NThOpp8vPVdmqNyQIPYXE6zgakR6d0DZ3hl4ENM7ie4icb9f6L0Y2qlAb7lmJjrPwD8WO35qf0ujvosOZy53zTo6nB1NPlwGbE8i+mCQNQGkeExjTSd/JKpUy90QbjoGjE7ty9bT6YaxnumsAYZFt7rYOojhnis1DaqNNweyixrhOWucInWBuToanH06mHPx5o7O5nWcxwExkOAlOZ1gW5BE6kiNNQfmvQs2+laafu22uMlt77ZnBI3n5pVSrsrnXuoAnIm9+QdQREOHPgk6Gpx9Ophz8cKm6s04Y5pIiWgmRvy34hj0WhnSm1g2mpUbG6+o0abp11XZbtVFuG0oA3XuLdCMiM6neirtlJ4DXUmuAjVztwgRjAhOjqcfTfhz8cg7bWcS9tV5cAM3vnOdZ03oqdJ7WcurVB+++OE4OMldJz9nkn3QBOpD3D0GFVv6NoaUg6g1HwecCeGhCsaOrHr6m/Dn45j+lNouDX7Q84NoueceKaOlqzZLa9ScT13z2b+xdgbXsWLthoujAJLiccSQUyp0jsbtdho6AYL24GnwtCvRz4+m/Dn44B6ZrtIf718nAJe93Hiewr0nsl0w9+0Nq7ZWcKTGuc0mQ1z3C1jSGjr4LnDWLQua/9Bd/9VrRM/G98crwY8Qu50X0Dsu00/eMa4AOLYue6DDcSM6Fu7euZxzx8x9dYzjlPaXpNo9uOjmGPeudH3aNb1LIXP2j/AKk7MMU6NZ/AlrGNPeXE7ju3KtD2OoF0vvDQJFgrOceAiwRqd/ct1P2O6OBkmuefvgPMdpUueHdf68rt/wD1F2x5LKTKdERqZqvHDJho72lZDUqvq069au+o9gY9l5L33ubeGUaTCMm2cQOrJOIXvH+zOwNt93gg/beXtOc3NeZPIEDKpSbtlNxfTpdHh2B1a9QdURDQCwAdyXJTztD2srViQyg+paDcGPe8tGfi6p4HOAY0Cw7T7SU61gZUrU8xFH3Ty+YIJLmnIyLRxOsQvoXSW27a1zP0ZuzFrmi6+o4Fj+Et+JnaBxwtdem2ox7Cym4OaOo+o4B5IFwf1DA7nT2JE5R7TbD5ftPStN4aw7VXYSDcBZAIj7bGA79wIMHTfr2SjsocC3barpkWu2gNDncIaAScnwXS6b9gmB36RQcYMTs7WNewOIIJa7qvLQSMHyGBjZ7FVH59w0cr2zrIcHuOP2chbY/yjvMQxznbMRETP417JU2dj+rtL3GDLX1i9o0+8YBWtnSFFxIFRnVMHrDXh26rz3T3R7NleGVqAuOWlr32kEGTJHxTdjnxXFc+jBDKdpO+9zs8imMZZeuy5bY9voLazCYDmk8AQSqv2mmNXtHNwHzXzmBx9fqrG37o7r/H4lrtlnuh9BdtlICS9kftt+qg7ZS/1Gfjb9V88tHarY7fz3ptk3Q+gnbaWvvGfjb9VH/qFH/Up/jb9V4DHb4f1VoZ+t4f1U25G6Diw648kBh4/nwTgycx+eHH+6hxA7OV0+K9DEm2MF0efoFZrPyAT6BSHZ483E+UKr/ulvkzcipNPfP58FBaf7fQclLSNwHqez4Squc4dYAbtZ7tXBAEbgc8CIUBkmJE+SvcABpPADTxJlXuHDB4j+qBbWnA9J+imzi7XT57lLLJiIO7UeITmCNJAnX110RCAwCOt6lQ5g4+nzTHv0yTzjXfpvVrx+QfplAm0DePGUBoOh9fkm27ojh1fyFBIAIORy/qEC7RnJMqWM4zHInJ5KA4HLbuZuhSXM0783Hfu0RVSzH5HlxUCN5Trcag9pECPGVIM43boIz4lEIkaXcsr03sf0qzZnVG1HdR7bhGTczhzaTjsC8+ANYOdc+Ghlbeito92TGOM3HhxCzzi8Zh3hNZRL2zva3Yd5cOdN30S/8AGfR/3nf7T/5Vytm2priQWgRvnGT5/kLaA0CSwjicxu3x2jReScYh64ymWj/GvR2l7+6jW+TEnYfaboqkT7t9RsxPU2o6djgY7lf3IG4j8XnASTVFMxOu4k/MdnBSoW5dH/GOwf6j/wDar/yJbvbDo2cvf/tV/wCRL96SAYI5Tw5CUmptgpjMidAZnz0CVBctB9rejT9p/wDsVvmxYqHtF0bTuJfWfMfHRqviJ06mNfILi7f0zWzDXiNYdA1xgkTyjcsTOk6jDJce0EkjvjdK7jTmXE6lPQ7b7V9GVGOpn3hDhFv6PWDfCyAZjrCCIGV4/wDRamluO2M927C2bV0k95NzxntLY9ViNRuuvKFtpYzjdsdXKMpikDZH7xndn8hD9kdyG/Q+YRcO/kSrFm8iO2PPRasijRIyY/EJ9VFp3Z72/MpjxGvyA551VGlrsCBxz4yUFhQcdw5Et+RUe4d95ngFe2IAAzzHpKme1v5/eQW10a7ljPYMqrc5sMR9ot+UoDzoQR22l3nKltNupe0H9ZrW+C6CWPeDpg8Q6PEBMNR2ZbHEiXY7wYVrQT1Xs7PzcE0NOkjmGnXxygzlx+1BHCAJ5wBKuyq0wJzzJzyzAVninvId2QY8A1Qz3ebXRxDWO8Jx5oLXZ64HYYdPifoqlkbiRyjuxr3pTyXHII7z1uYDSfFNpUG72id+XDys0QRaNGyO0i36Joc7LQQTAnU/XKPcgHD3A66mfOI71ZpB0BI4wc+A+aIqXkxiJ3jAwNf7Ktr5JnHDXvG9NbRBxB5An0VTSZNp1G54IPdLggqxrzqRPbcNf3sqxoHRxHcCM9+CEPog4AjmS7nHWShTaBAn8cR2xdhBc08wPK4AnhjHipfUAgOBHE6ef9QlOa5sZkHEQDPYZflMY4D4vinMCY5BpMLkKgA4DuOs95GU5xcRImeQPkRhYtqLhkBwjfZUHfhwUMZm7GchxY6e34iT5K2rSbpyTEbrR5CVbZjEkSSNQ05nwOVkwJ353UseeZTmVHbwSOHuyI7yIUIdrZHQJaXcyA+QdznOZrO7tXS2Y0wYLQw4wcT2EtEaQde5cXZawBte0OiIMOnlhui1PdTBa9zQydDe9ozrLXAa40lYZQ9GMu2x7Oq0PbrnrMeeWdPLRHUmWvgDgWns7tOO/sCVT2hjWwXNIgkyXHHJ8/PVZKnSbAZuYMSCDed4GGiR24WMw1t131jAtcwAgTcWknkLsHxHYubt+1kSHVIkQAGTM6QQCG6bxnsSq3TVN4j3hEYFlOq4mcZsA8O9ZqvSOzNZPvQSdxe/0dadSdTvXWMOZlydrJdkVZGtrrC7t6ocLc9izB2AJ38J+cp+07dTdkMbuwSd3e5Yqm1sPEH85I6vovTj2h58u8nElsHJjEEGFUVHTga40d9Es1mfZcf3ZH5PehjwR9o51MfX6rpy0D3nAjdu+nzQabgZLRpuA794WV9JzsAiccT6kcFD6FQYcT+Fw85OEspsNutsHmzHfPzUF7QOsPNnisrRAtJfjgGkf8sJtDAyXDtLWg/8sq2UhsETOulxb3TIV/et7fP+ZVcWHI46jqk9kEfNHvx+t+Fv1UVIqOGLKoG8ywjzKYdpfH2yJjrBkRzlWBfwGOLnT5DKDUfvYw8OvBjvyjlYVARFz2j9VoA8vqrMAwbiTGOowg98H1Wc0nnRv/6uA/PcrMpVILXEj/uEn/iFbE1alhnTtJYPmpfUaQDc4zwtP5Cq33gdEug5BDpHfLTPepZSqRio7uaD4OhQVLmwLbj/ANsETzgJbXkHLRwzQdJ7yFHuKuXNqlxO4lkH+FRSfVA0B/ZDT6QEGhzKerg0cOqxvqEp2zsOZb2fC70BUCtVGXOcP2g3HcDhRe6fjaeYu5oJqPY1pb1Txw4DyAVmPaYLagj9+OEY/uqOfMS5mNOq0RyJKuyppDwdc6g89UCK9mt4z+vVb6ZVQyZ67T2B9Q+rlrqgnF7HcjnvyMJbaLpgAQTm0geUlBX9GJmA3T75gbtxlVNNzY6wBGkPcPCVodTexogE5zBbg8YAyhr3QLXHPaGnxJKFqPcTie8OAn8RyrUg4AmW66gtPp9UPgjMgmN7Hd8lqGsDpDXHGtzG/MILuptdkucDuBOveSm0mFutRrccu6ZyueKFSSWGd8FlJo7uqFroU6gJJuEjUsp2kcxPopZTe7amtADqj3HB6rXQROoDYkAb/VNpVWtNzXOuOmX5I0DWmmY13z9MoqVWNkt1wItHACDaRodNU2gy4hznMjN0VGucY00aMzwBWctsXTO1EfZug9eXsYGg53U5PFMa9oIFPTdD3ETri1pxxwNVlpV6dQhjLgdJa0EazBkCe7Oea0OLXiHNa8h0BrmkAxxvET29vaspaQZUpti+xuNS6pUgDTe3I9FxtrGbKQtMGbGVX43HrDqjtu5Le3Ya5de1lJloxZc55bwm4D1mVn2h9QDr0mgb3F4YBE6stInvVxMnAeamIeCQBAdc1xHGCSIVabKkmSw/snTvAHmt1d7am7fqH478ehCy16zgIa0HdBe4z3AFbx2YSW+nUmQ67gBLY71F9bI8nAkduWptNziAbQDwDyT4ED0TC5+sOBG+TH/kPRWnNuc59QHrWd4qk/QJtN7/ALLaYjXJJ9JTq0uEwe03H+VUa55NoaORcYjjMJS2LXnH+UT2gSOeFJpvYJcGAboLPmEuyHQWMJOuT/5CEupQbMupA87ByggfVBsqOeR1bRyLZJ8Eqan3x+Jn8iUykycUW9uZP0TPdN/0j+Bv1QaK2x0xkNjkTw5rnVjGkeAQhdT4THyx/pTw4NBgRuAB04jKfsO0PcQC4lCFn7d5eHaGzMO467iRu7CpbsrOB13ucfUoQu4ZlUmC+3dGklS/ZmXEW6kcZ146oQhPmF6tBkDqjX5LINjpXnqDwUoSVguuy0BwJBMZud9Vt2BtzTcXHXVzvqhCns9F1qYDhzG8pj2ZIk7/ALTvqhCqemHb6zqeGOI5ku9ZWfZ+kKuetu4D6IQuZ8usfCWbdVdMvPkPRZ37XVLj/mP1H2nfVShTLxCx5WZtL5+Iq7+kazCHNeQc5wfVCFB1ei9uqvdc55JwJ0xwwu7s1Qlkzq8junQcByQhTJ3Hp0aWWN3dX7PV3n7sLB0j1Ij+Lrbj96UIWLWXM6Z2+pTZcwhpO8MZxPYk0orUy+o1pcJghrWn+EBCF3imfiGe7DRDfh+62dOMSudtu0OZFsD91p4cQpQtI8MMv7Jp7Q4gadzWj0Cn3hnXxz6oQug/Z6rp13IqbQ9wknTu9EIV9IzNquf8RlbtkZgZOn3nfVCEjyT4Za9MOcLpPefqi3n4lCEV/9k=",0.25
